time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
500,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.1
510,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.1
511,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
512,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
513,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
514,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
515,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
516,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
517,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
518,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
519,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
520,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_GUI [2]),2,(Operator OBSERVE_GUI [1]),1,,,0.0
521,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
522,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),5,(Operator OBSERVE_GUI [2]),2,(Operator OBSERVE_GUI [1]),1,,,0.0
523,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,([OP_START_HANDLE_BATTERY_OP__OP_START_LAND_OP]),,0.0
524,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator POKE_OGUI [1]),1,,0,,,0.0
525,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator TX_OGUI [1]),1,(Operator TX_OGUI [20]),20,,,0.0
526,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
527,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
528,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
529,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
530,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.5
531,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
532,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
533,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FP_PAUSED_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
534,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
535,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
536,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_CRASHED_OP]),4,(Operator TX_OGUI [1]),1,,0,,,0.0
537,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_CRASHED_OP]),4,(Operator TX_OGUI [1]),1,,0,,,0.0
538,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_CRASHED_OP]),4,(Operator TX_OGUI [1]),1,,0,,,0.0
557,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_CRASHED_OP]),4,(Operator END_OGUI [1]),1,(Operator END_OGUI [1]),1,,,0.0
558,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_CRASHED_OP]),4,(Operator OBSERVE_GUI [2]),2,(Operator OBSERVE_GUI [1]),1,,,0.0
559,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [OP_POKE_MM])(Operator POKE_MM [UAV_CRASHED_OP]),5,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,([OP_START_TRANSMIT_SEARCH_FAILED_OP__OP_STOP_SEARCH_OP__OP_STOP_HANDLE_BATTERY_OP__OP_STOP_LAND_OP]),,0.0
560,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_POKE_MM])(Operator POKE_MM [UAV_CRASHED_OP])(Operator POKE_MM [MM_ACK_OP]),6,(Operator POKE_MM [1]),1,(Operator POKE_MM [1]),1,([MM_START_LISTEN_TO_OP_MM]),,0.30000000000000004
561,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_MM [UAV_CRASHED_OP])(Operator TX_MM [MM_ACK_OP]),5,(Operator TX_MM [1]),1,(Operator TX_MM [10]),10,,,0.0
570,,0,,0,,0,,,0.2
571,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_SEARCH_FAILED_MM])(Operator END_MM [UAV_CRASHED_OP])(Operator END_MM [MM_ACK_OP]),6,(MissionManager RX_OP [1])(Operator END_MM [1]),2,(MissionManager RX_OP [1])(Operator END_MM [1]),2,,([OP_STOP_TRANSMIT_SEARCH_FAILED_OP]),0.0
572,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_CRASHED_OP]),4,(MissionManager IDLE [1]),1,(MissionManager IDLE [1]),1,([MM_STOP_LISTEN_TO_OP_MM__MM_START_TRANSMIT_SEARCH_FAILED_MM]),,0.0
573,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_CRASHED_OP]),5,(ParentSearch IDLE [1]),1,(ParentSearch IDLE [1]),1,,,0.0
574,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_POKE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager POKE_PS [PS_ACK_MM])(Operator IDLE [UAV_CRASHED_OP]),6,(MissionManager POKE_PS [1]),1,(MissionManager POKE_PS [1]),1,([PS_START_LISTEN_TO_MM_PS]),,0.0
575,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator IDLE [UAV_CRASHED_OP]),5,(MissionManager TX_PS [2]),2,(MissionManager TX_PS [10]),10,,,0.0
580,,0,,0,,0,,,0.6
585,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_SEARCH_FAILED_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator IDLE [UAV_CRASHED_OP]),6,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,,([MM_STOP_TRANSMIT_SEARCH_FAILED_MM__MM_STOP_SEARCH_MM]),0.0
586,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_CRASHED_OP]),4,,0,,0,,([PS_STOP_LISTEN_TO_MM_PS]),0.0
590,,0,,0,,0,,,0.2
