time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
84,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [MM_POKE_OP]),5,(Operator IDLE [1]),1,(Operator IDLE [1]),1,,,0.0
85,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_POKE_OP]),6,(MissionManager POKE_OP [1]),1,(MissionManager POKE_OP [1]),1,([OP_START_LISTEN_TO_MM_OP]),,0.0
86,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager TX_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP]),5,(MissionManager TX_OP [1]),1,(MissionManager TX_OP [10]),10,,,0.0
90,,0,,0,,0,,,0.5
96,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager END_OP [OP_ACK_MM])(Operator RX_MM [UAV_LANDED_OP])(Operator RX_MM [MM_NEW_SEARCH_AOI_OP]),6,(MissionManager END_OP [1])(Operator RX_MM [1]),2,(MissionManager END_OP [1])(Operator RX_MM [1]),2,([MM_STOP_TRANSMIT_AOI_MM__MM_START_TRANSMIT_AOI_MM]),,0.0
97,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP]),4,(Operator IDLE [1]),1,(Operator IDLE [1]),1,([OP_STOP_LISTEN_TO_MM_OP__OP_START_SET_AOI_OP]),,0.0
98,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,([OP_START_LAUNCH_OP]),,0.0
99,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_FLYING_OP])(Operator LAUNCH_UAV [OGUI_FLYING_NORMAL_OP]),5,(Operator LAUNCH_UAV [1]),1,(Operator LAUNCH_UAV [1]),1,,,0.0
100,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [2]),2,(Operator OBSERVE_GUI [1]),1,,([OP_STOP_LAUNCH_OP]),0.4
101,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [2]),2,,0,,,0.0
102,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,,,0.0
103,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_POKE_MM])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [1])(Operator POKE_OGUI [1]),2,(MissionManager IDLE [1]),1,,,0.0
104,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_POKE_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [1])(Operator TX_OGUI [1]),2,(Operator TX_OGUI [20]),20,,,0.0
105,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_POKE_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(Operator TX_OGUI [1]),1,,0,([MM_START_LISTEN_TO_VO_MM]),,0.0
106,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_TARGET_SIGHTED_F_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager RX_VO [1])(Operator TX_OGUI [1]),2,(MissionManager RX_VO [1]),1,,,0.0
107,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_TARGET_SIGHTED_F_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager IDLE [2])(Operator TX_OGUI [1]),3,(MissionManager IDLE [1]),1,([MM_STOP_LISTEN_TO_VO_MM__MM_START_TRANSMIT_TARGET_SIGHTED_F_MM]),,0.0
108,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_PS [VO_TARGET_SIGHTED_F_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,(ParentSearch IDLE [1]),1,,,0.0
109,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(ParentSearch IDLE [1])(Operator TX_OGUI [1]),2,,0,,,0.0
110,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_POKE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager POKE_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(MissionManager POKE_PS [1])(Operator TX_OGUI [1]),2,(MissionManager POKE_PS [1]),1,([PS_START_LISTEN_TO_MM_PS]),,0.7
111,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),6,(MissionManager TX_PS [2])(Operator TX_OGUI [1]),3,(MissionManager TX_PS [10]),10,,,0.0
120,,0,,0,,0,,,0.2
121,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_F_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),7,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator TX_OGUI [1]),3,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,,([MM_STOP_TRANSMIT_TARGET_SIGHTED_F_MM]),0.0
