time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
85,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
86,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
87,(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(MissionManager TX_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),6,(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10])(MissionManager TX_PS [10])(Operator OBSERVE_GUI [10]),40,(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1])(MissionManager TX_PS [2])(Operator OBSERVE_GUI [1]),6,,
88,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),14,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [10])(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [10]),24,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [1])(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [1]),6,([PS_START_LISTEN_TO_MM_PS])([PS_START_LISTEN_TO_MM_PS]),([MM_STOP_SEARCH_MM])([MM_STOP_SEARCH_MM])
89,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),14,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [10])(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [10]),24,(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [1])(ParentSearch RX_MM [1])(MissionManager END_PS [1])(Operator OBSERVE_GUI [1]),6,([PS_START_LISTEN_TO_MM_PS])([PS_START_LISTEN_TO_MM_PS]),([MM_STOP_SEARCH_MM])([MM_STOP_SEARCH_MM])
90,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
91,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
92,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
93,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
94,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
95,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
96,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
97,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
98,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
99,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
100,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
101,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
102,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
103,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
104,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
105,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
106,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
107,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
108,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
109,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
110,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
111,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
112,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
113,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
114,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
115,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
116,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
117,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
118,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
119,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
120,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
121,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
122,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
123,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
124,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
125,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
126,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
127,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
128,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
129,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
130,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
131,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
132,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
133,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
134,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
135,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
136,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
137,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
138,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
139,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
140,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
141,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
142,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
143,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
144,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
145,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
146,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
147,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
148,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
