time, resource data (Actor State [ActiveInput])*, resource workload, temporal data (Actor State [NumberOfEnabledTransitions])*, temporal workload, decision data (Actor State [TransitionDuration])*, decision workload, TaskStarts, TaskStops
207,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
208,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
209,(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_UAV [10]),20,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [1]),2,,
210,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
211,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
212,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [10])(Operator OBSERVE_GUI [10]),20,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,,
213,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),4,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [10]),11,(Operator OBSERVE_GUI [2])(Operator OBSERVE_GUI [1]),3,,
214,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),4,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,(Operator OBSERVE_GUI [2])(Operator OBSERVE_GUI [2]),4,,
215,(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_BATTERY_LOW_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),4,(Operator POKE_OGUI [1])(Operator OBSERVE_GUI [1]),2,(Operator POKE_OGUI [1])(Operator OBSERVE_GUI [2]),3,,
216,(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_BATTERY_LOW_OP]),4,(Operator TX_OGUI [10])(Operator POKE_OGUI [1]),11,(Operator TX_OGUI [1])(Operator POKE_OGUI [1]),2,,
217,(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_BATTERY_LOW_OP]),2,(Operator TX_OGUI [10]),10,(Operator TX_OGUI [1]),1,,
226,(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_BATTERY_LOW_OP]),2,(Operator END_OGUI [1]),1,(Operator END_OGUI [1]),1,,
227,(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP])(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_BATTERY_LOW_OP]),4,(Operator OBSERVE_GUI [1])(Operator END_OGUI [1]),2,(Operator OBSERVE_GUI [2])(Operator END_OGUI [1]),3,,
228,(Operator OBSERVE_GUI [OGUI_LANDED_OP])(Operator OBSERVE_GUI [OGUI_LANDED_OP])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_BATTERY_LOW_OP]),4,(Operator OBSERVE_GUI [1])(Operator OBSERVE_GUI [1]),2,(Operator OBSERVE_GUI [2])(Operator OBSERVE_GUI [2]),4,,
229,(Operator OBSERVE_UAV [OGUI_LANDED_OP])(Operator OBSERVE_UAV [OGUI_LANDED_OP])(Operator OBSERVE_GUI [OGUI_LANDED_OP])(Operator OBSERVE_GUI [OGUI_LANDED_OP]),4,(Operator OBSERVE_UAV [10])(Operator OBSERVE_GUI [1]),11,(Operator OBSERVE_UAV [1])(Operator OBSERVE_GUI [2]),3,,
230,(Operator OBSERVE_UAV [UAV_LANDED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP])(Operator OBSERVE_UAV [OGUI_LANDED_OP])(Operator OBSERVE_UAV [OGUI_LANDED_OP]),4,(Operator OBSERVE_UAV [1])(Operator OBSERVE_UAV [10]),11,(Operator OBSERVE_UAV [2])(Operator OBSERVE_UAV [1]),3,,
231,(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_BATTERY_LOW_OP])(Operator OBSERVE_UAV [UAV_LANDED_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),4,(Operator POST_FLIGHT [10])(Operator OBSERVE_UAV [1]),11,(Operator POST_FLIGHT [1])(Operator OBSERVE_UAV [2]),3,,
232,(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_BATTERY_LOW_OP]),2,(Operator POST_FLIGHT [10]),10,(Operator POST_FLIGHT [1]),1,,
241,(Operator POST_FLIGHT_COMPLETE [UAV_LANDED_OP])(Operator POST_FLIGHT_COMPLETE [OGUI_BATTERY_LOW_OP]),2,(Operator POST_FLIGHT_COMPLETE [1]),1,(Operator POST_FLIGHT_COMPLETE [1]),1,,
