time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
457,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_LANDED_OP])(Operator END_OGUI [OGUI_LANDED_OP]),5,(Operator END_OGUI [1]),1,,0,,,0.0
458,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_POKE_MM])(Operator OBSERVE_GUI [UAV_LANDED_OP])(Operator OBSERVE_GUI [OGUI_LANDED_OP]),6,(MissionManager IDLE [1])(Operator OBSERVE_GUI [2]),3,(Operator OBSERVE_GUI [1]),1,,,0.0
459,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_POKE_MM])(Operator OBSERVE_UAV [UAV_LANDED_OP])(Operator OBSERVE_UAV [OGUI_LANDED_OP]),6,(Operator OBSERVE_UAV [2]),2,(MissionManager RX_VO [1])(Operator OBSERVE_UAV [1]),2,([MM_START_LISTEN_TO_VO_MM]),,0.0
460,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_VO [VO_TARGET_SIGHTED_T_MM])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),6,(MissionManager RX_VO [1])(Operator POST_FLIGHT [1]),2,(Operator POST_FLIGHT [1]),1,,([OP_STOP_LAND_OP]),0.4
461,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [VO_TARGET_SIGHTED_T_MM])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),6,(MissionManager IDLE [2])(Operator POST_FLIGHT [1]),3,(MissionManager IDLE [1]),1,([MM_STOP_LISTEN_TO_VO_MM__MM_START_TRANSMIT_TARGET_SIGHTED_T_MM]),,0.0
462,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager POKE_PS [VO_TARGET_SIGHTED_T_MM])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),7,(ParentSearch IDLE [1])(Operator POST_FLIGHT [1]),2,(MissionManager POKE_PS [1]),1,,,0.0
463,(ParentSearch IDLE [false])(ParentSearch IDLE [MM_POKE_PS])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),6,(ParentSearch IDLE [1])(Operator POST_FLIGHT [1]),2,,0,,,0.0
464,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_POKE_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager POKE_PS [PS_ACK_MM])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),7,(MissionManager POKE_PS [1])(Operator POST_FLIGHT [1]),2,(ParentSearch RX_MM [1]),1,([PS_START_LISTEN_TO_MM_PS]),,0.0
465,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator POST_FLIGHT [UAV_LANDED_OP])(Operator POST_FLIGHT [OGUI_LANDED_OP]),6,(MissionManager TX_PS [2])(Operator POST_FLIGHT [1]),3,(MissionManager TX_PS [1]),1,,,0.0
470,,0,,0,,0,,,0.5
472,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator POST_FLIGHT_COMPLETE [UAV_LANDED_OP])(Operator POST_FLIGHT_COMPLETE [OGUI_LANDED_OP]),6,(MissionManager TX_PS [2])(Operator POST_FLIGHT_COMPLETE [1]),3,(Operator POST_FLIGHT_COMPLETE [10]),10,,([OP_STOP_HANDLE_BATTERY_OP]),0.0
473,(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager TX_PS [PS_ACK_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [OGUI_LANDED_OP]),6,(MissionManager TX_PS [2]),2,(Operator IDLE [1]),1,,,0.0
475,(ParentSearch RX_MM [false])(ParentSearch RX_MM [MM_TARGET_SIGHTED_T_PS])(ParentSearch RX_MM [false])(ParentSearch RX_MM [false])(MissionManager END_PS [PS_ACK_MM])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [OGUI_LANDED_OP]),7,(ParentSearch RX_MM [1])(MissionManager END_PS [1]),2,(MissionManager END_PS [10]),10,,([MM_STOP_TRANSMIT_TARGET_SIGHTED_T_MM]),0.0
476,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator IDLE [UAV_LANDED_OP])(Operator IDLE [OGUI_LANDED_OP]),5,,0,(ParentSearch IDLE [1])(MissionManager IDLE [1]),2,,([PS_STOP_LISTEN_TO_MM_PS]),0.0
480,,0,,0,,0,,,0.5
