time, Active Inputs (Actor State [ActiveInput])*, Total Active Inputs, Enabled Transitions (Actor State [NumberOfEnabledTransitions])*, Total Enabled Transitions, Transition Durations (Actor State [TransitionDuration])*, Total Transitions, TaskStarts, TaskStops, Op Tempo
143,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
144,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
145,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
146,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
147,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_LANDED_OP]),4,,0,,0,,,0.0
148,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator LAUNCH_UAV [UAV_FLYING_OP])(Operator LAUNCH_UAV [OGUI_FLYING_NORMAL_OP]),5,(Operator LAUNCH_UAV [1]),1,,0,,,0.0
149,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FLYING_NORMAL_OP]),5,(Operator OBSERVE_GUI [2]),2,(Operator OBSERVE_GUI [1]),1,,([OP_STOP_LAUNCH_OP]),0.0
150,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator POKE_OGUI [1]),1,(Operator POKE_OGUI [1]),1,,,0.1
151,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator POKE_OGUI [UAV_FLYING_OP])(Operator POKE_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator POKE_OGUI [1]),1,,0,,,0.0
152,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator TX_OGUI [1]),1,(Operator TX_OGUI [1]),1,,,0.0
153,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
160,,0,,0,,0,,,0.2
199,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
200,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_OGUI [UAV_FLYING_OP])(Operator TX_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator TX_OGUI [1]),1,,0,,,0.0
249,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator END_OGUI [1]),1,(Operator END_OGUI [50]),50,([OP_STOP_SET_AOI_OP__OP_START_SEARCH_OP]),,0.0
250,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_FLYING_OP])(Operator END_OGUI [OGUI_FLYING_NORMAL_OP]),5,(Operator END_OGUI [1]),1,,0,,,0.1
251,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator END_OGUI [UAV_FLYING_OP]),4,(Operator END_OGUI [1]),1,,0,,,0.0
252,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [1]),1,,,0.0
253,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
254,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
255,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP]),4,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
256,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
257,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
260,,0,,0,,0,,,0.1
266,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.0
267,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
270,,0,,0,,0,,,0.1
277,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
278,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
280,,0,,0,,0,,,0.1
288,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.0
289,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
290,,0,,0,,0,,,0.1
299,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
300,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.1
310,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.0
311,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
320,,0,,0,,0,,,0.1
321,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
322,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
330,,0,,0,,0,,,0.1
332,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.0
333,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
340,,0,,0,,0,,,0.1
343,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
344,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
350,,0,,0,,0,,,0.1
354,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,(Operator OBSERVE_UAV [10]),10,,,0.0
355,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_UAV [UAV_FLYING_OP])(Operator OBSERVE_UAV [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_UAV [1]),1,,0,,,0.0
360,,0,,0,,0,,,0.1
365,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,(Operator OBSERVE_GUI [10]),10,,,0.0
366,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
370,,0,,0,,0,,,0.1
375,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
376,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_FP_PAUSED_OP]),5,(Operator OBSERVE_GUI [1]),1,,0,,,0.0
377,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_PATH_COMPLETE_OP]),5,(Operator OBSERVE_GUI [2]),2,,0,,,0.0
378,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator OBSERVE_GUI [UAV_FLYING_OP])(Operator OBSERVE_GUI [OGUI_PATH_COMPLETE_OP]),5,(Operator OBSERVE_GUI [2]),2,,0,,,0.0
379,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP]),6,(MissionManager IDLE [1]),1,(Operator POKE_MM [1]),1,([OP_STOP_SEARCH_OP__OP_START_TRANSMIT_SEARCH_COMPLETE_OP]),,0.0
380,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager IDLE [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP]),6,(MissionManager IDLE [1]),1,,0,,,0.1
381,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP])(Operator POKE_MM [MM_ACK_OP]),7,(Operator POKE_MM [1]),1,(MissionManager RX_OP [1]),1,([MM_START_LISTEN_TO_OP_MM]),,0.0
382,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(MissionManager RX_OP [OP_POKE_MM])(Operator POKE_MM [UAV_FLYING_OP])(Operator POKE_MM [OGUI_PATH_COMPLETE_OP])(Operator POKE_MM [MM_ACK_OP]),7,(Operator POKE_MM [1]),1,,0,,,0.0
383,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_MM [UAV_FLYING_OP])(Operator TX_MM [OGUI_PATH_COMPLETE_OP])(Operator TX_MM [MM_ACK_OP]),6,(Operator TX_MM [1]),1,(Operator TX_MM [1]),1,,,0.0
384,(ParentSearch IDLE [false])(ParentSearch IDLE [false])(ParentSearch IDLE [false])(Operator TX_MM [UAV_FLYING_OP])(Operator TX_MM [OGUI_PATH_COMPLETE_OP])(Operator TX_MM [MM_ACK_OP]),6,(Operator TX_MM [1]),1,,0,,,0.0
390,,0,,0,,0,,,0.2
